ANNEE;DEPARTEMENT;Age;Qmort;Survie
1806;INDRE-ET-LOIRE;40;0,0539;573
1806;INDRE-ET-LOIRE;45;0,0603;542
1806;INDRE-ET-LOIRE;50;0,0764;510
1806;INDRE-ET-LOIRE;55;0,1031;471
1806;INDRE-ET-LOIRE;60;0,1485;422
1806;INDRE-ET-LOIRE;65;0,2155;359
1806;INDRE-ET-LOIRE;70;0,3164;282
1806;INDRE-ET-LOIRE;75;0,4353;193
1806;INDRE-ET-LOIRE;80;0,576;109
1806;INDRE-ET-LOIRE;85;0,7398;46
1806;ISERE;0;0,4125;1000
1806;ISERE;5;0,0566;588
1806;ISERE;10;0,0351;554
1806;ISERE;15;0,049;535
1806;ISERE;20;0,0628;509
1806;ISERE;25;0,0668;477
1806;ISERE;30;0,0702;445
1806;ISERE;35;0,0728;414
1806;ISERE;40;0,0748;383
1806;ISERE;45;0,0784;355
1806;ISERE;50;0,0956;327
1806;ISERE;55;0,1262;296
1806;ISERE;60;0,1776;258
1806;ISERE;65;0,2511;213
1806;ISERE;70;0,3573;159
1806;ISERE;75;0,4736;102
1806;ISERE;80;0,6059;54
1806;ISERE;85;0,7607;21
1806;JURA;0;0,3943;1000
1806;JURA;5;0,0537;606
1806;JURA;10;0,0335;573
1806;JURA;15;0,047;554
1806;JURA;20;0,0603;528
1806;JURA;25;0,0643;496
1806;JURA;30;0,0677;464
1806;JURA;35;0,0704;433
1806;JURA;40;0,0727;402
1806;JURA;45;0,0765;373
1806;JURA;50;0,0937;345
1806;JURA;55;0,1239;312
1806;JURA;60;0,1748;274
1806;JURA;65;0,2477;226
1806;JURA;70;0,3535;170
1806;JURA;75;0,4701;110
1806;JURA;80;0,6031;58
1806;JURA;85;0,7588;23
1806;LANDES;0;0,4305;1000
1806;LANDES;5;0,0595;570
1806;LANDES;10;0,0367;536
1806;LANDES;15;0,051;516
1806;LANDES;20;0,0652;490
1806;LANDES;25;0,0693;458
1806;LANDES;30;0,0728;426
1806;LANDES;35;0,0752;395
1806;LANDES;40;0,077;365
1806;LANDES;45;0,0802;337
1806;LANDES;50;0,0975;310
1806;LANDES;55;0,1284;280
1806;LANDES;60;0,1803;244
1806;LANDES;65;0,2544;200
1806;LANDES;70;0,3611;149
1806;LANDES;75;0,4771;95
1806;LANDES;80;0,6085;50
1806;LANDES;85;0,7625;19
1806;LOIR-ET-CHER;0;0,3218;1000
1806;LOIR-ET-CHER;5;0,0423;678
1806;LOIR-ET-CHER;10;0,0272;650
1806;LOIR-ET-CHER;15;0,0389;632
1806;LOIR-ET-CHER;20;0,0503;607
1806;LOIR-ET-CHER;25;0,054;577
1806;LOIR-ET-CHER;30;0,0572;546
1806;LOIR-ET-CHER;35;0,0604;514
1806;LOIR-ET-CHER;40;0,0636;483
1806;LOIR-ET-CHER;45;0,0688;453
1806;LOIR-ET-CHER;50;0,0855;421
1806;LOIR-ET-CHER;55;0,1141;385
