"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"294";1806;"CHER";30;0,0655;0,481;16,67
"295";1806;"CHER";35;0,0683;0,45;14,265
"296";1806;"CHER";40;0,0708;0,419;12,015
"297";1806;"CHER";45;0,0749;0,389;9,92
"298";1806;"CHER";5;0,0512;0,621;30,86
"299";1806;"CHER";50;0,092;0,36;7,975
"300";1806;"CHER";55;0,1219;0,327;6,175
"301";1806;"CHER";60;0,1723;0,287;4,54
"302";1806;"CHER";65;0,2447;0,238;3,105
"303";1806;"CHER";70;0,35;0,179;1,915
"304";1806;"CHER";75;0,4669;0,117;1,02
"305";1806;"CHER";80;0,6007;0,062;0,435
"306";1806;"CHER";85;0,7571;0,025;0,125
"307";1806;"CORREZE";0;0,4484;1;30,995
"308";1806;"CORREZE";10;0,0382;0,517;23,235
"309";1806;"CORREZE";15;0,053;0,497;20,65
"310";1806;"CORREZE";20;0,0676;0,471;18,165
"311";1806;"CORREZE";25;0,0718;0,439;15,81
"312";1806;"CORREZE";30;0,0752;0,408;13,615
"313";1806;"CORREZE";35;0,0776;0,377;11,575
"314";1806;"CORREZE";40;0,0791;0,348;9,69
"315";1806;"CORREZE";45;0,0819;0,32;7,95
"316";1806;"CORREZE";5;0,0625;0,552;25,995
"317";1806;"CORREZE";50;0,0993;0,294;6,35
"318";1806;"CORREZE";55;0,1306;0,265;4,88
"319";1806;"CORREZE";60;0,183;0,23;3,555
"320";1806;"CORREZE";65;0,2576;0,188;2,405
"321";1806;"CORREZE";70;0,3647;0,14;1,465
"322";1806;"CORREZE";75;0,4804;0,089;0,765
"323";1806;"CORREZE";80;0,611;0,046;0,32
"324";1806;"CORREZE";85;0,7643;0,018;0,09
"325";1806;"CORSE";0;0,394;1;34,755
"326";1806;"CORSE";10;0,0335;0,574;26,725
"327";1806;"CORSE";15;0,047;0,554;23,855
"328";1806;"CORSE";20;0,0602;0,528;21,085
"329";1806;"CORSE";25;0,0642;0,496;18,445
"330";1806;"CORSE";30;0,0676;0,465;15,965
"331";1806;"CORSE";35;0,0704;0,433;13,64
"332";1806;"CORSE";40;0,0726;0,403;11,475
"333";1806;"CORSE";45;0,0765;0,373;9,46
"334";1806;"CORSE";5;0,0536;0,606;29,755
"335";1806;"CORSE";50;0,0937;0,345;7,595
