"";"ANNEE";"DEPARTEMENT";"Qmort[0-4]";"Qmort[5-9]";"Qmort[10-14]";"Qmort[15-19]";"Qmort[20-24]";"Qmort[25-29]";"Qmort[30-34]";"Qmort[35-40]";"Qmort[40-44]";"Qmort[45-49]";"Qmort[50-54]";"Qmort[55-59]";"Qmort[60-64]";"Qmort[65-69]";"Qmort[70-74]";"Qmort[75-79]";"Qmort[80-85]";"Qmort[85-...]"
"108";1811;"COTES-DU-NORD";0,3834;0,0519;0,0325;0,0458;0,0588;0,0628;0,0661;0,069;0,0713;0,0754;0,0925;0,1225;0,173;0,2456;0,3511;0,4678;0,6014;0,7576
"109";1811;"CREUSE";0,3401;0,0451;0,0288;0,041;0,0528;0,0566;0,0599;0,063;0,0659;0,0708;0,0877;0,1167;0,1658;0,2368;0,341;0,4585;0,5942;0,7525
"110";1811;"DORDOGNE";0,3009;0,0391;0,0254;0,0366;0,0474;0,051;0,0541;0,0575;0,0609;0,0664;0,083;0,1111;0,1587;0,2281;0,331;0,4491;0,5868;0,7474
"111";1811;"DOUBS";0,3017;0,0392;0,0254;0,0366;0,0475;0,0511;0,0543;0,0576;0,061;0,0665;0,0831;0,1112;0,1588;0,2282;0,3312;0,4493;0,587;0,7475
"112";1811;"DROME";0,2804;0,0359;0,0236;0,0342;0,0445;0,048;0,0511;0,0545;0,0581;0,064;0,0804;0,108;0,1547;0,2232;0,3253;0,4438;0,5827;0,7445
"113";1811;"EURE";0,177;0,0209;0,0147;0,0223;0,0295;0,0323;0,0349;0,0386;0,043;0,0502;0,0654;0,0896;0,1312;0,1939;0,2909;0,4106;0,5562;0,726
"114";1811;"EURE-ET-LOIR";0,2369;0,0295;0,0198;0,0293;0,0382;0,0415;0,0444;0,048;0,052;0,0586;0,0745;0,1008;0,1456;0,212;0,3123;0,4313;0,5728;0,7376
"115";1811;"FINISTERE";0,4605;0,0644;0,0393;0,0543;0,0692;0,0734;0,0769;0,0791;0,0804;0,0831;0,1005;0,132;0,1847;0,2597;0,367;0,4825;0,6126;0,7654
"116";1811;"FRANCE";0,2898;0,0377;0,0246;0,0356;0,0461;0,0497;0,0529;0,0562;0,0597;0,0654;0,0819;0,1098;0,157;0,226;0,3278;0,4629;0,6219;0,7818
"117";1811;"GARD";0,2525;0,0318;0,0212;0,0311;0,0405;0,0438;0,0468;0,0504;0,0542;0,0605;0,0767;0,1035;0,149;0,2161;0,3171;0,436;0,5765;0,7402
